timestamp,pi3_ram_used_mb,pi3_ram_avail_mb,pi3_load,pi3_articles,pi3_pending,pi3_sent,pi4_ram_used_mb,pi4_ram_avail_mb,pi4_load,pi4_articles,pi4_pending_jobs,pi4_completed_jobs,pi4_failed_jobs,pi4_analyses,pi4_active_events,pi4_expired_events,disk_used_pi3,disk_used_pi4
2026-09-02T06:12:02.131026+00:00,360,544,"0.00, 0.00, 0.00",0,0,0,743,3052,"0.02, 0.34, 0.48",0,0,0,0,0,0,0,5276,9267
2026-09-02T06:12:18.812842+00:00,361,543,"0.00, 0.00, 0.00",84,0,84,743,3052,"0.01, 0.32, 0.47",86,84,84,0,84,4,8,5276,9267
2026-09-02T06:15:04.487547+00:00,326,579,"1.72, 0.65, 0.24",84,0,84,0,0,"0",0,0,0,0,0,0,0,5766,0
2026-09-02T06:20:03.438547+00:00,337,567,"0.02, 0.33, 0.22",84,0,84,478,3317,"0.03, 0.25, 0.15",86,84,84,0,84,4,8,5765,9267
2026-09-02T06:25:03.657767+00:00,314,590,"0.01, 0.13, 0.16",84,0,84,454,3340,"0.16, 0.20, 0.15",86,84,84,0,84,4,8,5765,9267
2026-09-02T06:30:03.533267+00:00,311,593,"0.02, 0.05, 0.11",85,0,85,647,3148,"3.32, 1.28, 0.54",87,85,84,0,84,4,8,5765,9267
2026-09-02T06:35:03.107678+00:00,316,588,"0.18, 0.08, 0.10",85,0,85,477,3318,"0.40, 0.84, 0.59",87,85,85,0,85,4,8,5765,9267
2026-09-02T06:40:03.977084+00:00,313,591,"0.00, 0.02, 0.06",86,0,86,650,3144,"3.45, 1.56, 0.88",88,86,85,0,85,4,8,5765,9267
2026-09-02T06:45:03.579905+00:00,318,586,"0.08, 0.02, 0.04",87,0,87,472,3323,"1.87, 2.50, 1.54",89,87,87,0,87,4,8,5765,9267
2026-09-02T06:50:04.181113+00:00,317,587,"0.04, 0.01, 0.02",88,0,88,473,3322,"1.81, 2.46, 1.78",90,88,88,0,88,4,8,5765,9267
2026-09-02T06:55:03.925283+00:00,313,591,"0.12, 0.03, 0.01",88,0,88,476,3319,"0.01, 0.89, 1.27",90,88,88,0,88,4,8,5765,9267
2026-09-02T07:00:18.332058+00:00,312,592,"0.00, 0.00, 0.00",88,0,88,477,3318,"0.20, 0.42, 0.95",90,88,88,0,88,4,8,5765,9267
2026-09-02T07:05:03.770117+00:00,314,590,"0.04, 0.01, 0.00",89,0,89,478,3317,"2.70, 2.14, 1.54",91,89,89,0,89,4,8,5765,9267
2026-09-02T07:10:03.033583+00:00,315,589,"0.00, 0.00, 0.00",89,0,89,482,3312,"0.04, 0.90, 1.17",91,89,89,0,89,4,8,5765,9267
2026-09-02T07:15:03.724353+00:00,312,592,"0.06, 0.02, 0.00",90,0,90,487,3308,"2.73, 2.02, 1.54",92,90,90,0,90,4,8,5765,9267
2026-09-02T07:20:04.472755+00:00,318,586,"0.00, 0.00, 0.00",90,0,90,501,3294,"0.15, 0.80, 1.13",92,90,90,0,90,4,8,5765,9267
2026-09-02T07:25:04.114752+00:00,317,587,"0.00, 0.00, 0.00",91,0,91,686,3108,"0.39, 0.37, 0.84",93,91,90,0,90,4,8,5765,9267
2026-09-02T07:30:02.778087+00:00,312,592,"0.00, 0.00, 0.00",92,0,92,649,3146,"0.51, 1.29, 1.20",94,92,91,0,91,4,8,5765,9267
2026-09-02T07:35:03.201175+00:00,311,593,"0.00, 0.00, 0.00",92,0,92,500,3295,"0.48, 1.66, 1.48",94,92,92,0,92,4,8,5765,9267
2026-09-02T07:40:03.117932+00:00,312,592,"0.00, 0.00, 0.00",92,0,92,503,3292,"0.14, 0.70, 1.10",94,92,92,0,92,4,8,5765,9267
