source_id,name,region,country,fetched_items,new_items,duplicate_items,malformed_items,events_generated,map_worthy_events,new_map_worthy_events,duplicate_rate_pct,map_worthy_per_100,new_map_worthy_per_100,decision
premium_times_ng,Premium Times Nigeria,Africa,NG,45,41,4,0,18,18,16,8.9,40.0,35.6,ADOPT
sabc_news_za,SABC News South Africa,Africa,ZA,42,39,3,0,16,16,15,7.1,38.1,35.7,ADOPT
bbc_africa,BBC News Africa,Africa,KE,38,26,12,0,14,14,8,31.6,36.8,21.1,ADOPT_WITH_LIMIT
batimes_ar,Buenos Aires Times,South America,AR,35,32,3,0,15,15,14,8.6,42.9,40.0,ADOPT
mercopress_sa,MercoPress South America,South America,UY,30,28,2,0,12,12,11,6.7,40.0,36.7,ADOPT
balkan_insight,Balkan Insight,Eastern Europe,RS,40,38,2,0,17,17,16,5.0,42.5,40.0,ADOPT
romania_insider,Romania Insider,Eastern Europe,RO,32,29,3,0,13,13,12,9.4,40.6,37.5,ADOPT
aljazeera_eng,,Middle East,QA,50,35,15,0,20,20,13,30.0,40.0,26.0,ADOPT_WITH_LIMIT
times_of_israel,Times of Israel,Middle East,IL,45,40,5,0,18,18,16,11.1,40.0,35.6,ADOPT
the_hindu,,South Asia,IN,48,42,6,0,19,19,16,12.5,39.6,33.3,ADOPT
indian_express,,South Asia,IN,46,38,8,0,17,17,13,17.4,37.0,28.3,ADOPT_WITH_LIMIT
dawn_pk,Dawn Pakistan,South Asia,PK,36,32,4,0,14,14,12,11.1,38.9,33.3,ADOPT
cna_sg,Channel NewsAsia,Southeast Asia,SG,44,37,7,0,16,16,13,15.9,36.4,29.5,ADOPT
pdi_ph,,Southeast Asia,PH,38,35,3,0,14,14,13,7.9,36.8,34.2,ADOPT
prensa_libre_gt,Prensa Libre Guatemala,Central America,GT,28,26,2,0,11,11,10,7.1,39.3,35.7,ADOPT
el_universal_mx,,Central America,MX,42,37,5,0,15,15,13,11.9,35.7,31.0,ADOPT
abc_au,,Oceania,AU,40,36,4,0,14,14,12,10.0,35.0,30.0,ADOPT
rnz_pacific,RNZ Pacific News,Oceania,NZ,26,25,1,0,10,10,10,3.8,38.5,38.5,ADOPT
