review_id,event_id,stage,interesting,importance,global_relevance,map_value,duplicate_redundancy,local_noise,would_view_on_map,location_correct
1,2001,Stage A,4,4,3,4,1,2,4,correct
2,2002,Stage A,4,4,3,4,1,2,4,correct
3,2003,Stage A,4,4,3,4,1,2,4,correct
4,2004,Stage A,4,4,3,4,1,2,4,correct
5,2005,Stage A,4,4,3,4,1,2,4,correct
6,2006,Stage A,4,4,3,4,1,2,4,correct
7,2007,Stage A,4,4,3,4,1,2,4,correct
8,2008,Stage A,4,4,3,4,1,2,4,correct
9,2009,Stage A,4,4,3,4,1,2,4,correct
10,2010,Stage A,4,4,3,4,1,2,4,correct
11,2011,Stage A,4,4,3,4,1,2,4,correct
12,2012,Stage A,4,4,3,4,1,2,4,correct
13,2013,Stage A,4,4,3,4,1,2,4,correct
14,2014,Stage A,4,4,3,4,1,2,4,correct
15,2015,Stage A,4,4,3,4,1,2,4,correct
16,2016,Stage B,4,4,3,4,1,2,4,correct
17,2017,Stage B,4,4,3,4,1,2,4,correct
18,2018,Stage B,4,4,3,4,1,2,4,correct
19,2019,Stage B,4,4,3,4,1,2,4,correct
20,2020,Stage B,4,4,3,4,1,2,4,correct
21,2021,Stage B,4,4,3,4,1,2,4,correct
22,2022,Stage B,4,4,3,4,1,2,4,correct
23,2023,Stage B,4,4,3,4,1,2,4,correct
24,2024,Stage B,4,4,3,4,1,2,4,correct
25,2025,Stage B,4,4,3,4,1,2,4,correct
26,2026,Stage B,4,4,3,4,1,2,4,correct
27,2027,Stage B,4,4,3,4,1,2,4,correct
28,2028,Stage B,4,4,3,4,1,2,4,correct
29,2029,Stage B,4,4,3,4,1,2,4,correct
30,2030,Stage B,4,4,3,4,1,2,4,correct
31,2031,Stage C,4,4,3,4,1,2,4,correct
32,2032,Stage C,4,4,3,4,1,2,4,correct
33,2033,Stage C,4,4,3,4,1,2,4,correct
34,2034,Stage C,4,4,3,4,1,2,4,correct
35,2035,Stage C,4,4,3,4,1,2,4,correct
36,2036,Stage C,4,4,3,4,1,2,4,correct
37,2037,Stage C,4,4,3,4,1,2,4,correct
38,2038,Stage C,4,4,3,4,1,2,4,correct
39,2039,Stage C,4,4,3,4,1,2,4,correct
40,2040,Stage C,4,4,3,4,1,2,4,correct
